coin_value_eur;timestamp
5385.7;1533752838329
5385.3;1533752944410
5377;1533753050164
5350;1533753153868
5344.4;1533753257735
5286.6;1533753362676
5342.8;1533753471305
5313.5;1533753578208
5322.3;1533753689775
5326.5;1533753795076
5340.4;1533753898853
5328.6;1533754008637
5324.8;1533754113068
5363.8;1533754216329
5388.2;1533754321872
5398.7;1533754425309
5371.9;1533754529331
5371.8;1533754633644
5380;1533754739336
5398.9;1533754844796
5420.4;1533754950252
5474.4;1533755059015
5435.8;1533755163944
5445.1;1533755268554
5430.2;1533755372945
5422.5;1533755476348
5431.2;1533755580579
5433.6;1533755685780
5427.2;1533755789654
5450;1533755895846
5450;1533756001488
5477;1533756106328
5458.6;1533756214208
5459;1533756318078
5435.6;1533756428084
5445;1533756531697
5435.4;1533756636472
5445;1533756739825
5444.9;1533756848675
5450.9;1533756952515
5450;1533757057492
5454;1533757161507
5451.1;1533757272216
5457.4;1533757379284
5457;1533757482173
5457.8;1533757585810
5473;1533757689473
5478;1533757798539
5459.9;1533757903268
5471.3;1533758011163
5466.5;1533758114881
5461.6;1533758220509
5456.3;1533758325644
5461.9;1533758437646
5456.1;1533758545421
5457.1;1533758649882
5440;1533758762227
5442;1533758867185
5443.9;1533758971170
5441.3;1533759074888
5437.7;1533759180879
5437.8;1533759284185
5430.3;1533759387949
5429.8;1533759491691
5426;1533759595534
5434;1533759703032
5433.1;1533759807527
5437.8;1533759913132
5437.8;1533760017407
5448.9;1533760123082
5456.8;1533760227283
5448.8;1533760331302
5449.9;1533760435480
5448.9;1533760542958
5449.9;1533760646687
5448.9;1533760752949
5443.3;1533760857329
5433.8;1533760961986
5439.9;1533761064880
5438.6;1533761169828
5432;1533761275522
5428.1;1533761379733
5424.5;1533761483493
5434.7;1533761587329
5440;1533761695099
5440;1533761799793
5438;1533761904450
5442.6;1533762007808
5450;1533762112335
5453.9;1533762219857
5454.1;1533762323951
5441.7;1533762427628
5442.1;1533762531807
5439.4;1533762636885
5434.4;1533762745822
5429.9;1533762849147
5405.6;1533762955359
5381.3;1533763058646
5393.9;1533763164681
5410.1;1533763271682
5428.6;1533763375801
5432.9;1533763480976
5426.3;1533763586480
5422.5;1533763689870
5431;1533763804870
5436.4;1533763915081
5421.1;1533764019185
5420.8;1533764123163
5421;1533764234023
5419.3;1533764337151
5409.9;1533764441082
5409.7;1533764544985
5419.1;1533764658979
5409.5;1533764763682
5409.3;1533764867489
5414.4;1533764979085
5417.7;1533765084086
5423.9;1533765188396
5425.8;1533765293561
5429.1;1533765397159
5423.5;1533765505265
5429;1533765615490
5437.9;1533765720327
5430.9;1533765827815
5431.1;1533765931084
5430.1;1533766034858
5426.9;1533766138950
5424.2;1533766243686
5421.7;1533766349330
5413.4;1533766455562
5420;1533766558948
5418.1;1533766664044
5411.1;1533766767589
5409.9;1533766871552
5398.7;1533766976310
5411;1533767079653
5411.1;1533767183796
5410.4;1533767289577
5410.3;1533767393152
5410.2;1533767497787
5418.1;1533767603332
5409.4;1533767707357
5418.4;1533767816658
5422.7;1533767920788
5423.2;1533768024948
5416.7;1533768129187
5409.4;1533768236081
5405;1533768340276
5418.7;1533768444038
5413.3;1533768548550
5404.7;1533768654311
5394.2;1533768757685
5380;1533768861988
5400;1533768967200
5396.2;1533769074944
5392;1533769179198
5399.8;1533769284058
5401.7;1533769387745
5399.2;1533769493227
5381.1;1533769598073
5360.4;1533769707445
5375.9;1533769814080
5366.9;1533769918511
5370.8;1533770021882
5360;1533770125979
5380.7;1533770454479
5371.8;1533770562128
5373.8;1533770665791
5379.2;1533770769375
5379;1533770873508
5403.5;1533770979687
5403.1;1533771082975
5404.5;1533771187154
5407;1533771291079
5402.5;1533771395478
5409;1533771499328
5412.6;1533771603118
5408;1533771708327
5411.8;1533771814982
5411;1533771917879
5411;1533772021663
5410.4;1533772125480
5406.4;1533772232249
5405.9;1533772337331
5401;1533772440685
5396.3;1533772544070
5405.3;1533772650209
5412.8;1533772753959
5403.2;1533772860512
5407.8;1533772966501
5412.5;1533773070163
5434.7;1533773289329
5431;1533773399971
5432.8;1533773503589
5440.8;1533773607280
5439.8;1533773712508
5429.3;1533773816600
5429.2;1533773920508
5430.8;1533774024649
5442.7;1533774133026
5441.1;1533774236840
5446.8;1533774341719
5446.2;1533774446172
5439.7;1533774550372
5436.3;1533774655988
5427.6;1533774759239
5419;1533774866882
5419.2;1533774971850
5424.6;1533775076483
5424.3;1533775180161
5424.1;1533775283900
5424.2;1533775390084
5419;1533775494330
5407.2;1533775597944
5412.3;1533775701761
5412.4;1533775805338
5412.4;1533775909753
5413.6;1533776012645
5413.4;1533776117508
5415.8;1533776221759
5413.1;1533776325576
5413.1;1533776429828
5419.2;1533776535978
5426;1533776640904
5429.2;1533776744980
5426.9;1533776849065
5427.4;1533776952682
5425.4;1533777057485
5427.4;1533777164673
5427.4;1533777269150
5431.2;1533777372851
5440;1533777477058
5439.8;1533777582088
5436.9;1533777685754
5431.4;1533777795270
5435.2;1533777902787
5435.2;1533778006644
5430.2;1533778111368
5430.9;1533778215622
5430.9;1533778322328
5430.9;1533778428085
5430.9;1533778532330
5430.8;1533778638989
5430.9;1533778745483
5430.9;1533778850484
5430.1;1533778954785
5435.8;1533779060336
5433.6;1533779169598
5433.6;1533779272884
5433.6;1533779387004
5437;1533779490735
5439.8;1533779595454
5442.4;1533779700619
5439.9;1533779803975
5443.4;1533779908326
5458.7;1533780014944
5448.6;1533780123381
5447.1;1533780228368
